"INSTITUTION","WEBADDR","CITY","STATE","ACCREDITED (Y/N)","ACCREDITATION","PUBLIC","PRIVATE","4-YEAR","2 YEAR (Assoc.)","GRAD","TECHNICAL","APPRENTICE","K-12","# TOTAL PROG","# STEM PROG","ACADEMIC","ONLINE/IN PERSON","START DATE","PROG LENGTH","# BATT SPECIFIC PROGRAMS","# BATT RELATED","BATT SPECIFIC","SPECIFIC PROGRAM TYPE","COURSE #","PROG NAME","PROG POC","PROG E-MAIL","PROG PHONE","PROG WEB","PROG PREREQ:","PROG COST","AVENUES FOR FUNDING","PROG ADDRESS","PROSPECTIVE JOBS (Rough Estimate)"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","In Person","Fall/Spring/Summer","4 days","4","5","Yes","Course","Unknown","Battery Short Course","University of Michigan Battery Lab","batterylab@umich.edu","734-764-2794","https://umbatterylab.engin.umich.edu/battery-short-course/","Contact POC for more information","Contact POC for more information","Employer Sponsored Professional Development","Michigan Memorial Phoenix Project Building, 2301 Bonisteel Blvd., Ann Arbor, MI 48109-2100","Battery design engineer, cell manufacturing specialist, R&D technician in EV, energy storage, consumer devices"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","No","Online","Fall/Spring/Summer","1 day","4","5","Yes","Continuing Education Unit","Program","Battery Management and Safety","Michigan Engineering Professional Education","professional.education@umich.edu","734-647-7200","https://ope.engin.umich.edu/battery-management-safety/","Contact POC for more information","$250 ","Employer Sponsored Professional Development","500 S State St, Ann Arbor, MI 48109","Battery management systems engineer, energy systems analyst, safety compliance roles"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","No","Online","Fall/Spring/Summer","90 days","4","5","Yes","Certificate","Program","Battery Cell Manufacturing, Testing, and Design Certificate","Dr. Andrew Weng  Electric Vehicle Center","batterylab@umich.edu","734-647-7200","https://nexus.engin.umich.edu/pro-ed/battery-cell-mfg/","Contact POC for more information","$1,200 ","Employer Sponsored Professional Development","500 S State St, Ann Arbor, MI 48109","Cell manufacturing technician, battery test engineer, process engineer"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","In Person/Online","Fall","2 years","4","5","No","Masters","Program","Energy Systems Engineering","Colette Sherfey","scherfey@umich.edu","Unknown","https://che.engin.umich.edu/graduate/energy-systems-engineering-masters/","Bachelors in STEM","https://ro.umich.edu/tuition-residency/tuition-fees/2025-2026/graduate/full-term/college-engineering-graduate-full-term","Financial Aid: Scholarships, Grants, Loans","2800 Plymouth Rd Building 18, Ann Arbor, MI 48109","Energy systems engineer, battery controls engineer, EV integration specialist, sustainability systems designer"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","No","Online","Fall/Spring/Summer","1 day","4","5","No","Continuing Education Unit","Program","Electrical Energy Storage","Donald Siegel","djsiege@umich.edu","Unknown","https://ope.engin.umich.edu/electrical-energy-storage/","Contact POC for more information","$250 ","Employer Sponsored Professional Development","2401 Plymouth Rd, Suite A/B, Ann Arbor, MI 48105","Energy Systems Analyst; Battery Test Engineer; Storage Specialist"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","Hybrid","Fall","1 semester","4","5","No","Course","EAS 574/RCNSCI 419/PUBPOL 519","Sustainable Energy Systems","Greg Keoleian","gregak@umich.edu","Unknown","https://seas.umich.edu/academics/courses/sustainable-energy-systems","Bachelor's degree","https://finaid.umich.edu/","Financial Aid: Scholarships, Grants, Loans","College of Engineering, North Campus 1075 Beal Ave, Ann Arbor, MI 48109","Energy Systems Analyst; Storage Planning; Systems Integration"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","Hybrid","Winter","1 semester","4","5","Yes","Course","ISD 565/MECHENG 565","Battery Systems and Control","Graduate Mechanical Engineering Department","me-grad-coordinator@umich.edu","734-764-2694","https://bulletin.engin.umich.edu/courses/me/#:~:text=MECHENG%20565%20(SD%20565).%20Battery%20Systems%20and%20Control","Bachelor's degree","Course MECHENG 360 or equivalent","Financial Aid: Scholarships, Grants, Loans","Mechanical Engineering, G.G. Brown Laboratory, 2350 Hawyard, Ann Arbor, MI 48109","BMS engineer; controls engineer; systems integration"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","Hybrid","Fall/Spring/Summer","1 semester","4","5","No","Course","ESENG 505/MECHENG 571","Energy Generation and Storage Using Modern Materials","Suljo Linic","linic@umich.edu","734-647-7984","https://isd.engin.umich.edu/wp-content/uploads/2020/02/eseng505-syllabus.pdf","Contact POC for more information","https://rackham.umich.edu/admissions/applying/cost-of-attendance/","Financial Aid: Scholarships, Grants, Loans","Chemical Engineering, 1028E NCRC Bldg 28, Ann Arbor, MI 48109","Energy materials engineer; battery system designer; energy storage R&D technician"
"University of Michigan-Ann Arbor","https://umich.edu/","Ann Arbor","Michigan","Yes","HLC","Yes","No","Yes","No ","Yes","Yes","No","No","310","124","Yes","Hybrid","Spring/Summer/Fall/Winter","1 semester","4","5","No","Course","CEE 567/ESENG 567","Energy Infrastructure Systems","Christian M. Lastoskie","cmlasto@umich.edu","734-647-7940","https://graham.umich.edu/node/1858","Contact POC for more information","https://rackham.umich.edu/admissions/applying/cost-of-attendance/","Financial Aid: Scholarships, Grants, Loans","Graham Sustainability Institute, 625 E. Liberty Street, Suite 300, Ann Arbor, MI 48104","Power systems engineer; grid/infrastructure analyst; energy policy specialist"
"Ohio State University-Main Campus","www.osu.edu/","Columbus","Ohio ","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","506","52","Yes","In Person","Fall","2-6 years","3","1","Yes","Research","Program","Energy Storage Research","Center for Automotive Research","car@osu.edu","614-292-5990","https://car.osu.edu/energy-storage-research","Contact POC for more information","Contact POC for more information","Grants","Center for Automotive Research, 930 Kinnear Road, Columbus, OH 43212","Energy systems engineer, energy systems analyst, energy materials engineer, battery engineer"
